Reviews_name,Review Source,Review Company,Requisition,Reviews_Ratings,Reviews_Pros,Employee Type,Employee Status,Years of Service,,Reviews_Date,Review Month,Review Year,Review Position,Position Level,Position Dept,Reviews_Cons
Good environment to explore the new technology,www.glassdoor.com,Ace,RVW43187888.htm,4,"Currently, I'm working on Analytics & Business Ins team. Team vision: We build and deliver creative analytics solutions with an integrated knowledge of real-life business challenges. Some of our Analytics and Business Insights comprise three major subgroups: Computer Vision for Remote Sensing, Artificial Intelligence/Machine Learning, and Business Insights Center of Excellence. Boss: He is an awesome boss, manager, and team leader. Always recognize your efforts and contributions. Give you a comfortable working environment. Thoughtful and friendly. He will give you the right way to go in your career path. Teammate: Very friendly and open. So happy to work with a team like that. they never complain to each other, just give your open opinion and comments.",Current,Employee, more than 1 year,,,,,,,,Some limit of access control to the developer desktop.
It's okay,www.glassdoor.com,Ace,RVW37466264.htm,3,Good benefits and good colleague,Former,Employee, more than 1 year,,21-Oct-20,Oct,2020, Full Stack Developer,Developer,Developer,"Lack of mentorship Low salary (Salary and the workload given, expectation does not match)"
Comprehensive,www.glassdoor.com,Ace,RVW36702983.htm,3,Good Working Team Mates towards common goal.,Former,Employee, more than 3 years,,,,,,,,"At times, just become complex"
A company which makes bold moves,www.glassdoor.com,Ace,RVW35914625.htm,5,"Good salary, benefit and compensation. Quick promotion.",Current,Employee, more than 1 year,,,,,,,,Long working hours during critical period
Toxic Environment and Unstructured Process,www.glassdoor.com,Ace,RVW37076016.htm,1,Near by LRT station and nice colleagues.,Current,Contractor, more than 1 year,,,,,,,,"- CDO is woefully inept. He comes up with many new initiatives, tries them out and dumps them and tries something new. The autocratic leadership style is soul destroying. - No learning opportunities and doing things that does not value add operations. Advise to join if you can withstand long hours of scolding and screaming from unprofessional boss who has not idea what's going on. - Favoritism is needless to say, widely practiced by the CDO. - Politics and the china-man working culture is demoralizing. - Work OT on most nights and no work life balance. - High turnover of staff - Gave it 1 star as the fill cannot be left blank."
Working at Aceras,www.glassdoor.com,Ace,RVW35767181.htm,2,good place to learn and travel,Current,Contractor,,,,,,,,,management needs to be more open
Toxic environment,www.glassdoor.com,Ace,RVW34553101.htm,2,Good salary and compensation packages,Former,Employee, more than 1 year,,31-Jul-20,Jul,2020, Anonymous Employee,Anonymous,Anonymous,Poor top management leadership (CDO)
"Toxic Workplace, stay away",www.glassdoor.com,Ace,RVW35625491.htm,1,Good remuneration package. And because this is a field for pros which needs at least 5 words; near to train station.,Current,Employee, more than 1 year,,04-Sep-20,Sep,2020, Software Engineer,Engineer,Software,"Just google “signs your workplace is toxic” it explains EVERYTHING there. Extremely poor leadership of middle and top management (CDO). The simple direction is just to make CDO looks good. Follow the instructions. Unmanaged unreasonable project timeline, no strategy thinking when strategy is being discussed every week. Middle management and CDO loves to use peer pressure to hold others back. If you want to train yourself with high EQ and AQ, please join this company. This is a good place to train your sensibility and tolerance towards nonsense. A good place for anger management as you will be trained to hold your emotions when being yelled, humiliated and please work extra hours to answer night calls from your managers. Nothing is good here."
Bad place,www.glassdoor.com,Ace,RVW33265062.htm,1,Maybe you can learn a few things since they have a lot of projects,Current,Contractor, less than 1 year,,19-May-20,May,2020, Systems Analyst,Analyst,System,Mid Managers have poor people skills
Toxic environment,www.glassdoor.com,Ace,RVW32949825.htm,1,"Good colleagues, work always with new ideas",Former,Employee, more than 1 year,,,,,,,,"Toxic environment, top management instill fear, verbally abusive and directionless management."
